Institution,Institution_Country,Institution_State,Institution_Region_Census,Institution_Division_Census,Region (https://www.aamc.org/career-development/affinity-groups/gsa/member-schools-region#negsa)
Duquesne University,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Odessa Pirogov Medical Institute,Ukraine,NA,NA,NA,NA
Thomas Jefferson University,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
UNIVERSITY OF PENNSYLVANIA SCH OF NURSING,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
St. John Medical College,India,NA,NA,NA,NA
Nizhny Novgorod State Medical Academy,Russia,NA,NA,NA,NA
HAHNEMAN UNIVERSITY MEDICAL SCHOOL,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Lock Haven University,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Geisinger Commonwealth,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Sidney Kimmel Medical College,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Arcadia University,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Slippery Rock University,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Gannon University,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
DeSales University,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
State University of Liege,Belgium,NA,NA,NA,NA
Deccan College of Medical Sciences,India,NA,NA,NA,NA
"Mahatmagiandhi Mem Med School, Indore, INDIA",India,NA,NA,NA,NA
ST JOSEPHS HOSPITAL FATIMA UNIT,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Philadelphia University,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
Tel Aviv University Sackler School of Medicine,Israel,NA,NA,NA,NA
LaSalle University,USA,Pennsylvania,1 - NORTHEAST,2 - MIDDLE ATLANTIC,
RHODE ISLAND COLLEGE,USA,Rhode Island,1 - NORTHEAST,1 - NEW ENGLAND,
Brown University School of Medicine,USA,Rhode Island,1 - NORTHEAST,1 - NEW ENGLAND,
Northern State Medical University,Russia,NA,NA,NA,NA
Warren Alpert Medical School of Brown University,USA,Rhode Island,1 - NORTHEAST,1 - NEW ENGLAND,
NOTRE DAME DE LA SAGESSE--HAITIEN,Haiti,NA,NA,NA,NA
JOHNSON AND WALES UNIVERSITY,USA,Rhode Island,1 - NORTHEAST,1 - NEW ENGLAND,
Angeles University Foundation - Philippines,Philippines,NA,NA,NA,NA
UNIVERSITY OF RHODE ISLAND,USA,Rhode Island,1 - NORTHEAST,1 - NEW ENGLAND,
COMMUNITY COLLEGE OF RHODE ISLAND,USA,Rhode Island,1 - NORTHEAST,1 - NEW ENGLAND,
