Institution,Institution_Country,Institution_State,Institution_Region_Census,Institution_Division_Census,Region (https://www.aamc.org/career-development/affinity-groups/gsa/member-schools-region#negsa)
Brockton Hospital School of Nursing,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
ST JOSEPHS HOSPITAL,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
De La Salle University,Philippines,NA,NA,NA,NA
Ben-Gurion University of the Negev,Israel,NA,NA,NA,NA
Framingham Union Hospital,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
St Joseph Hospital,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Remedios Romualdez Medical School,Philippines,NA,NA,NA,NA
Springfield College Baystate Health Systems,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
University of Teheran (Pahlavi Med Sch),Iran,NA,NA,NA,NA
St Joseph College,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
University of Santo Domingo,Dominican Republic,NA,NA,NA,NA
Anna Maria College,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Jagiellonian University,Poland,NA,NA,NA,NA
New England Baptist Hospital,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
ST VINCENTS COLLEGE,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Baystate Medical Center,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Saba University School of Medicine,Caribbean,NA,NA,NA,NA
Curry College,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Quincy College,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Massachusetts Bay Community College,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Seth Gordhandas Sunderdas Medical College,India,NA,NA,NA,NA
Grant Medical College,India,NA,NA,NA,NA
American University of the Caribbean,Caribbean,NA,NA,NA,NA
Boston City Hospital of Nursing,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
SOUTH EASTON TECHNICAL INSTITUTUTE,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Worcester State University,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Endicott College,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
University of Toronto Faculty of Medicine,Canada,Ontario,NA,NA,NA
Federal University of Pernambuco,Brazil,NA,NA,NA,NA
Diman Regional School,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Middlesex Community College,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Mass Gen Hosp Institute of Health Prof,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Comenius University,Slovakia,NA,NA,NA,NA
Becker College,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Dimond Regional Vocational,USA,Massachusetts,1 - NORTHEAST,1 - NEW ENGLAND,
Damascus University Faculty of Medicine,Syria,NA,NA,NA,NA
